order_id,erp_party_id,first_name,last_name,email_address,phone_number,status,quote_amount,sentiment_flag,last_updated
62e1e21e-d260-44c5-a8b7-24910ba6b390,ERP-AJI0Y6DP,Kevin,Brown,kevin.brown@yahoo.com,+17178161434,Delayed,3608.5,Frustrated,2025-10-01 09:22:44.190972+00:00
a382ec86-5b8e-4ec2-a653-016481f4f3e5,ERP-QK51FPKH,Donald,Davis,donald_davis@hotmail.com,+12995676635,Delivered,4054.93,Frustrated,2025-11-03 14:27:05.191005+00:00
23132718-9aa6-4ae2-a0f3-2ef85fe8e431,ERP-9NT3W5UZ,Andrew,Brown,andrew.brown@globallogisticsinc.com,+14962814814,In Transit,1962.62,Neutral,2025-08-27 03:35:35.191021+00:00
e717a38f-fdd7-46b9-ba1a-cc1c0da70853,ERP-NHJ7XVG0,Betty,Garcia,betty.garcia60@outlook.com,+18559044598,Delivered,4229.97,Positive,2026-02-01 01:43:08.191034+00:00
45d89b38-7592-474c-b31c-df6e50364ccd,ERP-LJH75LXO,David,Sanchez,davidsanchez@outlook.com,+13424529830,Delivered,3760.37,Neutral,2025-05-17 08:17:09.191047+00:00
3ed023af-66e2-4473-bc7a-51d70e214f84,ERP-N9ER14FF,Donna,Gonzalez,donnagonzalez@hotmail.com,+15908108668,Delivered,4858.28,Positive,2025-08-09 19:54:02.191058+00:00
7b59cb71-7196-4b31-8da2-8da3e1254ffa,ERP-YTJXEPQ8,Timothy,Brown,timothybrown@protonmail.com,+13088405889,Delayed,848.91,Positive,2025-10-03 13:13:29.191071+00:00
c153473d-4a22-4fdd-8421-669ee1349e60,ERP-TALA753L,Stephanie,Robinson,stephanie.robinson@gmail.com,+19496972133,Delayed,729.12,Neutral,2025-09-29 12:03:38.191081+00:00
cdc40243-748b-415b-8f0a-f705f14036d7,ERP-SV871YZO,Richard,Rodriguez,richardrodriguez84@hotmail.com,+17296622982,Delayed,1201.02,Neutral,2026-04-22 20:32:53.191092+00:00
1830b636-946e-481a-8d66-48efccd39982,ERP-IHCWI64C,Donna,Moore,donna.moore36@yahoo.com,+17523358744,Delayed,3944.64,Neutral,2026-02-16 01:51:09.191102+00:00
37f795ec-f38f-43bb-ad01-5abc0604b721,ERP-XMO5BXXC,Robert,Brown,robertbrown@yahoo.com,+13963949786,Pending Callback,786.89,Positive,2026-01-12 20:22:21.191111+00:00
2a32e374-3294-4a06-8fe7-fe4b4aca9952,ERP-5C34DXTA,Ashley,Davis,ashley.davis@yahoo.com,+16166978886,Delayed,4336.79,Positive,2026-02-26 02:04:20.191121+00:00
8d71dfca-f150-4ef1-b50a-7c367a57f65a,ERP-9J2QP89U,Anthony,Smith,anthonysmith@yahoo.com,+15034221958,In Transit,3765.08,Positive,2026-04-11 13:14:28.191131+00:00
3ebef462-f3b4-4d62-b3db-c8048daa20c2,ERP-S4F8CGVY,Donna,Thomas,donna.thomas@protonmail.com,+14527921651,In Transit,2154.2,Frustrated,2025-09-23 12:18:17.191140+00:00
71da8e3e-a157-4872-a82d-8cf33c453701,ERP-7HZIOYKL,Kimberly,Hernandez,kimberly.hernandez2@protonmail.com,+17763022200,Delayed,2578.84,Positive,2025-05-03 13:59:37.191149+00:00
bad81995-1bda-45ec-a513-8c783e150c84,ERP-CIKPTK93,Matthew,Lewis,matthewlewis2@icloud.com,+13063375333,In Transit,4459.59,Frustrated,2025-09-28 04:11:00.191159+00:00
6e2bf2d1-193f-4f9e-8c1f-9e29fd8f6900,ERP-KHMY4SJ6,Patricia,Rodriguez,patricia.rodriguez12@globallogisticsinc.com,+14832451058,Delivered,3878.48,Frustrated,2026-01-19 07:00:05.191168+00:00
2ee19c83-899f-4f8d-a14b-1cab35bfc3f9,ERP-PZUE8YFB,Richard,White,richard_white@hotmail.com,+13302426050,Delivered,4505.01,Positive,2025-05-16 22:01:00.191177+00:00
83da87a1-0f99-49a1-9bbe-3271ef175fd8,ERP-YYMU5907,Matthew,Miller,matthew.miller@hotmail.com,+12253836442,Pending Callback,4030.95,Frustrated,2025-06-20 03:52:13.191188+00:00
d4352507-e8ea-4f29-9c85-76901e9fbd7f,ERP-FZNBQH7M,Jessica,Rodriguez,jessica.rodriguez@icloud.com,+13976086378,Delivered,4335.33,Neutral,2025-12-15 15:40:57.191197+00:00
75bcc881-25fb-432a-bb5a-7008cc9fd13e,ERP-O9T7E8G8,Carol,Taylor,carol_taylor@protonmail.com,+16445536139,Pending Callback,3070.42,Frustrated,2026-03-17 02:42:17.191208+00:00
bc638035-aafe-47b4-8912-94a554ff63f0,ERP-UJZA7TZ0,Anthony,Lewis,anthonylewis26@hotmail.com,+12718806409,Delivered,3350.6,Positive,2025-07-25 12:00:20.191218+00:00
3bf66607-6703-4265-8e19-bb0c075e892b,ERP-LOOKEP7Y,Lisa,Taylor,lisa.taylor79@hotmail.com,+17612005978,Delivered,1129.9,Frustrated,2025-09-07 10:06:21.191227+00:00
ba12b03d-bcc5-4545-bba7-ed72b183832f,ERP-QPHR62GD,Carol,Hernandez,carolhernandez85@gmail.com,+19694406085,Delayed,4052.16,Positive,2026-04-21 12:56:25.191236+00:00
